"crab_id","created_at","width","weight"
"1","2026-03-23 10:00:00","11.18","440.00"
"2","2026-03-23 10:00:00","9.65","374.00"
"3","2026-03-23 10:00:00","10.57","388.00"
"4","2026-03-23 10:00:00","10.67","319.00"
"5","2026-03-23 10:00:00","12.45","315.00"
"6","2026-03-23 10:00:00","9.91","500.00"
"7","2026-03-23 10:00:00","10.67","419.00"
"8","2026-03-23 10:00:00","10.41","415.00"
"9","2026-03-23 10:00:00","11.18","455.00"
"10","2026-03-23 10:00:00","10.92","503.00"
"11","2026-03-23 10:00:00","11.43","436.00"
"12","2026-03-23 10:00:00","8.89","470.00"
"13","2026-03-23 10:00:00","8.13","466.00"
"14","2026-03-23 10:00:00","10.41","501.00"
"15","2026-03-23 10:00:00","9.91","407.00"
"16","2026-03-23 10:00:00","12.19","444.00"
"1","2026-03-24 10:00:00","11.18","440.00"
"2","2026-03-24 10:00:00","9.65","374.00"
"3","2026-03-24 10:00:00","10.57","388.00"
"4","2026-03-24 10:00:00","10.67","319.00"
"5","2026-03-24 10:00:00","12.45","315.00"
"6","2026-03-24 10:00:00","9.91","500.00"
"7","2026-03-24 10:00:00","10.67","419.00"
"8","2026-03-24 10:00:00","10.41","415.00"
"9","2026-03-24 10:00:00","11.18","455.00"
"10","2026-03-24 10:00:00","10.92","503.00"
"11","2026-03-24 10:00:00","11.43","436.00"
"12","2026-03-24 10:00:00","8.89","470.00"
"13","2026-03-24 10:00:00","8.13","466.00"
"14","2026-03-24 10:00:00","10.41","501.00"
"15","2026-03-24 10:00:00","9.91","407.00"
"16","2026-03-24 10:00:00","12.19","444.00"
"1","2026-03-25 10:00:00","11.18","440.00"
"2","2026-03-25 10:00:00","9.65","374.00"
"3","2026-03-25 10:00:00","10.57","388.00"
"4","2026-03-25 10:00:00","10.67","319.00"
"5","2026-03-25 10:00:00","12.45","315.00"
"6","2026-03-25 10:00:00","9.91","500.00"
"7","2026-03-25 10:00:00","10.67","419.00"
"8","2026-03-25 10:00:00","10.41","415.00"
"9","2026-03-25 10:00:00","11.18","455.00"
"10","2026-03-25 10:00:00","10.92","503.00"
"1","2026-03-26 10:00:00","11.18","440.00"
"2","2026-03-26 10:00:00","10.16","374.00"
"3","2026-03-26 10:00:00","10.57","388.00"
"4","2026-03-26 10:00:00","11.18","320.00"
"5","2026-03-26 10:00:00","12.45","315.00"
"6","2026-03-26 10:00:00","10.16","500.00"
"7","2026-03-26 10:00:00","10.67","419.00"
"8","2026-03-26 10:00:00","11.18","415.00"
"9","2026-03-26 10:00:00","11.94","455.00"
"10","2026-03-26 10:00:00","11.68","503.00"
"1","2026-03-27 10:00:00","11.18","440.00"
"2","2026-03-27 10:00:00","9.65","374.00"
"3","2026-03-27 10:00:00","10.57","388.00"
"4","2026-03-27 10:00:00","10.67","320.00"
"5","2026-03-27 10:00:00","12.45","315.00"
"6","2026-03-27 10:00:00","9.91","500.00"
"7","2026-03-27 10:00:00","10.67","419.00"
"8","2026-03-27 10:00:00","10.41","415.00"
"9","2026-03-27 10:00:00","11.18","455.00"
"10","2026-03-27 10:00:00","10.92","503.00"
"1","2026-03-28 10:00:00","11.18","441.00"
"2","2026-03-28 10:00:00","9.65","374.00"
"3","2026-03-28 10:00:00","10.57","388.00"
"4","2026-03-28 10:00:00","10.67","320.00"
"5","2026-03-28 10:00:00","12.45","315.00"
"6","2026-03-28 10:00:00","9.91","500.00"
"7","2026-03-28 10:00:00","10.67","419.00"
"8","2026-03-28 10:00:00","10.41","415.00"
"9","2026-03-28 10:00:00","11.18","420.00"
"10","2026-03-28 10:00:00","10.92","436.00"
"1","2026-03-29 10:00:00","11.18","442.00"
"2","2026-03-29 10:00:00","9.65","376.00"
"3","2026-03-29 10:00:00","10.57","388.00"
"4","2026-03-29 10:00:00","10.67","322.00"
"5","2026-03-29 10:00:00","12.45","316.00"
"6","2026-03-29 10:00:00","9.91","500.00"
"7","2026-03-29 10:00:00","10.67","419.00"
"8","2026-03-29 10:00:00","10.41","415.00"
"9","2026-03-29 10:00:00","11.18","422.00"
"10","2026-03-29 10:00:00","10.92","437.00"
